__atable_index,file_path,corpus,size_bytes,sha256,bytes_per_sample,float,signed,big_endian,dtype,type_name,samples,width,height,component_count,row_created,row_updated
"('satellogic_all/fields2020/image_20201008-135337-079_0317-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135337-079_0317-u8be-1x5120x5120.raw,fields2020,26214400,41ed48c49ecb726888126386ba8edde850339e7af221083b882dbbb31fdaa510,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.186991,2022-02-10T12:33:21.187863
"('satellogic_all/fields2020/image_20201008-135337-206_0319-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135337-206_0319-u8be-1x5120x5120.raw,fields2020,26214400,79dc725f1b3d2d0f5e0331f3de11dc3ae3ff437928d41f5620cb9d92f945e8d5,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.191459,2022-02-10T12:33:21.192050
"('tmpq36fxt2t/shadow_out/boats2020/image_20200508-092838-434_0085-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200508-092838-434_0085-u8be-1x5120x5120.raw,boats2020,26214400,e92424b1795d36a67913ef9c05ef87ffba035776577dbf207abb511629e8c16c,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.525648,2022-02-10T13:52:36.525842
"('tmpq36fxt2t/shadow_out/boats2020/image_20200508-092839-319_0099-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200508-092839-319_0099-u8be-1x5120x5120.raw,boats2020,26214400,7933e6f03244abc13b809d55f3aad5c0830e03f16481f95a17242f0499fec996,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.554388,2022-02-10T13:52:36.554502
"('tmpq36fxt2t/shadow_out/boats2020/image_20200508-092839-825_0107-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200508-092839-825_0107-u8be-1x5120x5120.raw,boats2020,26214400,fb4ba68ed17065b556c8ce7e0fb707d630bd4863cd4c7c956e9d88c288fa57b2,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.562697,2022-02-10T13:52:36.562781
"('tmpq36fxt2t/shadow_out/boats2020/image_20200508-092840-331_0115-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200508-092840-331_0115-u8be-1x5120x5120.raw,boats2020,26214400,f7baa4e04c475e3848acb7c2dcf7921b1e97c99143b47fe15a2f7c80ab43eee0,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.585739,2022-02-10T13:52:36.585855
"('tmpq36fxt2t/shadow_out/boats2020/image_20200511-051227-745_0091-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200511-051227-745_0091-u8be-1x5120x5120.raw,boats2020,26214400,8e538d7a10d98802e5c8b505b572d7222000a28f373b1bae3948f9af178dea30,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.603547,2022-02-10T13:52:36.603676
"('tmpq36fxt2t/shadow_out/boats2020/image_20200511-051228-124_0097-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200511-051228-124_0097-u8be-1x5120x5120.raw,boats2020,26214400,d617e9dc988f93177f31f0c018b08c3ece307fd4d2d07dd875d31a8a3cabffa2,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.621614,2022-02-10T13:52:36.621729
"('tmpq36fxt2t/shadow_out/boats2020/image_20200511-051229-136_0113-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200511-051229-136_0113-u8be-1x5120x5120.raw,boats2020,26214400,50809177c8de9273468e7ef00b6d3e28f4039452fc827b412644e0d652d3156e,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.632557,2022-02-10T13:52:36.632648
"('tmpq36fxt2t/shadow_out/boats2020/image_20200516-074719-603_0057-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200516-074719-603_0057-u8be-1x5120x5120.raw,boats2020,26214400,0e123a16315ba2a786e62d8c2ab28f4d89b93d0050bb970a6474c027fca736a2,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.648582,2022-02-10T13:52:36.648699
"('tmpq36fxt2t/shadow_out/boats2020/image_20200527-215649-751_0201-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200527-215649-751_0201-u8be-1x5120x5120.raw,boats2020,26214400,b2bfa17c965a299cfdc0163dc96500846828af8be5fe40eafeead87051e8efd7,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.655599,2022-02-10T13:52:36.655728
"('tmpq36fxt2t/shadow_out/boats2020/image_20200530-020548-527_0309-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200530-020548-527_0309-u8be-1x5120x5120.raw,boats2020,26214400,3de12d05076862478a515d4d9506bb07c180bf87e7d3961ad5a0219b752f588a,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.665430,2022-02-10T13:52:36.665550
"('tmpq36fxt2t/shadow_out/boats2020/image_20200531-092712-529_0167-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200531-092712-529_0167-u8be-1x5120x5120.raw,boats2020,26214400,95abdb47cd2fb68c26e5c3b10d3e6772d150b44bf15b4da664682b4f322b2f83,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.682642,2022-02-10T13:52:36.682728
"('tmpq36fxt2t/shadow_out/boats2020/image_20200714-100238-761_0471-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/boats2020/image_20200714-100238-761_0471-u8be-1x5120x5120.raw,boats2020,26214400,5f489a6beb6b5755aee0a29a6b2bb02408af53f631f8c4937aca525b2a2475f5,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.701370,2022-02-10T13:52:36.701473
"('tmpq36fxt2t/shadow_out/fields2020/image_20201008-135317-108_0001-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/fields2020/image_20201008-135317-108_0001-u8be-1x5120x5120.raw,fields2020,26214400,3945a703fe7ced59583fdbb96af1486b31563efc3dc32cc6d89575b2a8079a6b,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.716809,2022-02-10T13:52:36.716893
"('tmpq36fxt2t/shadow_out/fields2020/image_20201008-135317-234_0003-u8be-1x5120x5120.raw',)",tmpq36fxt2t/shadow_out/fields2020/image_20201008-135317-234_0003-u8be-1x5120x5120.raw,fields2020,26214400,3606558ce27586afe3dfe767c0bb1aa8887ca12eaca87edb32ba7e7994f68114,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T13:52:36.724198,2022-02-10T13:52:36.724282
